track_ids,danergy,acousticness,instrumentalness,valence,loudness,tempo,duration_secs
5vDybLvL75lAj2JGh9jS18,0.4535,0.838,9.04e-06,0.543,-14.956,99.96,201.707
10IjsMtp26Om76fzdCZ5me,0.5625,0.624,0.000233,0.375,-9.13,137.445,222.027
4tY01qYozc6db4gihAiIl8,0.6255,0.137,0.000479,0.252,-10.241,126.356,199.8
3lgVZfcE2ajm6AfRXGzs74,0.7030000000000001,0.326,0.0,0.655,-7.233,127.566,245.093
4OzQg5IcAkBxQV6Awq2T0y,0.778,0.194,0.0,0.961,-5.905,125.005,267.2
6k4H1nmv3k9Oy7HmG7XadO,0.755,0.0386,0.0,0.956,-4.513,124.004,269.467
57Y3UccJEJqT8w8RWkUAz0,0.8955,0.079,0.0101,0.89,-5.107,107.955,244.827
2yHyxAYmOAglwZP2vIsOuB,0.8195,0.13,0.0,0.788,-3.898,121.046,255.4
4h3cnCK9KnbrTfhQoTkuEj,0.858,0.497,0.00488,0.774,-3.288,95.883,231.173
3DYVWvPh3kGwPasp7yjahc,0.815,0.0127,0.0683,0.946,-6.366,97.01,189.787
4eLQPgkIwZI6OlllntlLdF,0.7210000000000001,0.00444,3.54e-05,0.829,-9.097,93.773,211.533
0AWpG6NUEaRZvS3eMvXkBg,0.7315,0.000214,0.143,0.688,-7.675,95.624,228.493
0vLwL4xuJ3s7SeaCdvMqkY,0.5895,0.0336,0.000194,0.777,-13.799,142.167,212.893
5XJ1J9QPxaOzdpkGxKU4lA,0.6475,0.0078,0.0233,0.657,-7.793,115.007,350.24
4peeKrE2StP6D2NuWAUEHK,0.4795,0.454,0.0,0.522,-12.9,89.611,201.28
7xUVverKyPPPAW3sDqXhfi,0.6355,0.43,0.0,0.781,-7.569,168.152,279.4
68K0qD0VDqdm0eWXsGqnvM,0.5365,0.307,0.00115,0.779,-8.769,169.938,251.253
3XorCFmcupSm5QS6hA9g4N,0.7495,0.0077,1.64e-06,0.615,-6.44,106.101,232.067
5EU1mh0C4Km3k6vGvIDN2J,0.6745,0.0155,0.0,0.713,-5.517,138.8,212.933
6kBU9uWqar0Fw2Ws0he11A,0.45599999999999996,0.791,1.48e-06,0.407,-7.928,111.873,254.48
1SYXw0U7vE9BpUw5bEFvKw,0.5765,0.704,0.00103,0.753,-9.712,126.179,239.293
1V1Zit6cgKzpewBwMjm3zB,0.6325000000000001,0.115,6.12e-06,0.315,-7.308,123.889,271.733
1r3kj1yMff7ilIsR7hpvUo,0.5895,0.717,0.433,0.527,-10.568,129.401,345.68
5MsJ67JkQ5EReZw6MJZgpm,0.577,0.0486,0.141,0.826,-8.154,181.879,279.32
2FFq7apKbtiPLpnyF92Q83,0.5195000000000001,0.219,8.27e-05,0.413,-13.22,81.308,267.853
5MdaYkcPOlyEX56YjlQhZJ,0.6845,0.206,0.00823,0.428,-8.959,102.016,245.693
3m45HJIgE7BIneHxczYYjT,0.755,0.408,0.0,0.75,-7.301,119.835,250.413
4lNy9vqCqOfSg4H7Xtd51t,0.674,0.0581,4.37e-05,0.822,-5.752,94.024,265.427
5jOvmh1DYmaiBPETL6HCRY,0.8174999999999999,0.00224,0.0826,0.854,-6.108,125.014,246.507
0cRKeVLUtMjqZN27zNcw1L,0.744,0.0804,9.22e-05,0.401,-5.088,94.999,196.813
77HkZxPvkQnNVDmoDkvn0D,0.6759999999999999,0.233,0.0425,0.906,-8.962,167.08,190.28
0xhUYzpw3I8UQbMfMieMEV,0.7505,0.0468,0.0079,0.892,-5.955,114.504,232.8
03aCFPwbQSECsbcZeq2Lca,0.668,0.00254,0.00214,0.453,-8.81,128.643,273.173
40ZViEcg2JVcLysJc627Rz,0.6105,0.133,5.41e-06,0.625,-5.138,89.642,244.093
4WOjFgYXA9UtYAwdwSTYZ6,0.6985,0.0803,0.000251,0.648,-6.284,90.141,275.96
5fVZC9GiM4e8vu99W0Xf6J,0.6915,0.269,0.0,0.361,-4.08,122.035,262.533
4IoYz8XqqdowINzfRrFnhi,0.5705,0.0187,0.0,0.4,-5.412,151.994,241.853
6c8QH9FMFKj0ZgNeiyOx4v,0.645,0.0204,0.0,0.733,-5.221,116.029,236.373
5l6hpyTGBK0LAAxgPnqTQL,0.5195,0.0575,4.47e-06,0.283,-3.015,78.039,266.773
1oPHQirLVcgj85NWdiyuJD,0.7164999999999999,0.0315,0.000221,0.809,-3.515,112.026,189.28
66S14BkJDxgkYxLl5DCqOz,0.7010000000000001,0.151,0.0,0.807,-5.177,131.922,219.467
23rc0FT9mCa12LjYSeDXlW,0.554,0.154,0.0,0.499,-5.862,79.297,259.933
0KpfYajJVVGgQ32Dby7e9i,0.78,0.217,0.0,0.768,-4.432,97.03,216.667
1wAXODAAL6hY64ZdhrnjBO,0.804,0.000983,1.51e-05,0.73,-3.198,122.033,196.627
4ocbH5ZJqajZIpUrqRUoue,0.6140000000000001,0.0863,7.58e-06,0.594,-7.775,90.02,239.933
