track_ids,danergy,acousticness,instrumentalness,valence,loudness,tempo,duration_secs
1wnP0kMnl9NJC7Ek2rrHkB,0.5065000000000001,0.7390000000000001,0.0292,0.321,-9.335,99.941,506.733
2i6jWNxRAKWr9RWki0Mlk9,0.357,0.7070000000000001,0.00473,0.12300000000000001,-9.575,77.786,447.747
15Ag7ny7kypqVlJFlE6LCy,0.2925,0.9740000000000001,0.8809999999999999,0.19899999999999998,-20.564,89.03299999999999,238.8
1Xl83AOH0iWEOVFcdQqKBW,0.5575,0.563,0.0,0.6,-7.952999999999999,96.96,175.822
67VWosPALzIS5jSoOrElFj,0.5175,0.735,0.0,0.5870000000000001,-10.002,82.95200000000001,271.581
5NoEnHUPt6se0BH7GIOa5W,0.7010000000000001,0.0116,0.833,0.7759999999999999,-10.626,106.741,1402.593
102YVYHLNfgkfQP3qvDqsD,0.6945,0.324,0.0,0.6679999999999999,-5.035,120.057,300.373
6ApT3ojiZD0UOQTUwpG2kz,0.5385,0.5479999999999999,0.0,0.27399999999999997,-10.96,140.108,306.857
4r8JqkhpTb5tzSKKHnVJIJ,0.5335,0.46399999999999997,0.0,0.509,-8.702,131.903,279.429
1zYS6MCfCMu48HHC1X0V1S,0.362,0.293,0.601,0.0491,-11.374,93.7,445.813
6r3fxrdRfockYTqJQTX5Gq,0.33149999999999996,0.9790000000000001,0.882,0.16699999999999998,-11.948,104.475,243.413
0jeJR3LdrC2QJNviq7wjzp,0.62,0.142,0.00044100000000000004,0.589,-5.475,143.398,206.027
1RMJOxR6GRPsBHL8qeC2ux,0.444,0.8079999999999999,0.0,0.436,-10.209,75.24,209.831
2haaEnrn5HwCT46ZptCITK,0.8265,0.5760000000000001,0.0032600000000000003,0.904,-8.502,130.009,138.223
7imV18MkhIlOWqYyOaPtME,0.2445,0.973,0.27699999999999997,0.239,-17.76,78.094,1842.181
0Bvdw7BMMr01K8KQ0o2HLM,0.354,0.645,0.00020800000000000001,0.479,-21.3,150.106,1854.25
0dt9bsl3yQoIsn9YmDwMUs,0.21100000000000002,0.958,0.00938,0.264,-14.043,81.175,440.467
4t3EuE4hLRTZCcW8cQsoEp,0.5725,0.306,0.606,0.285,-12.874,153.53799999999998,1129.333
5o34Hm6Fz2BNFvXgcuL8O1,0.6125,0.73,0.0419,0.6920000000000001,-10.988,128.83,645.693
43dSwNSLQJfdjerSsIcczO,0.42400000000000004,0.613,0.35700000000000004,0.24,-16.637,156.30200000000002,1598.867
6ZtmKFdnEqyRaOcMKwWRsA,0.7364999999999999,0.602,0.348,0.83,-8.685,130.489,338.333
4TtYRH9xZXrYbA4CsOrwCh,0.16149999999999998,0.9209999999999999,0.142,0.0561,-12.593,87.25299999999999,279.999
6J22V9GoraRzuL4vlKRnhV,0.5945,0.711,0.155,0.8240000000000001,-9.061,95.027,240.632
5OY2TJcAtZxzsoDfAGvKd6,0.47550000000000003,0.826,0.102,0.888,-9.363,104.913,339.244
5wszymvQwEeLB49gfw5XGf,0.55,0.7020000000000001,5.3700000000000004e-05,0.41100000000000003,-8.125,110.041,259.636
2FpeRuMXPVBGbKg9KBnwP7,0.5854999999999999,0.8420000000000001,0.619,0.889,-8.769,119.59299999999999,197.936
06EKL8Rvf6n8ZR6ValmTxc,0.28049999999999997,0.95,0.0126,0.0736,-10.470999999999998,109.251,303.999
70Sa1XCEBHSOB847t2X59A,0.6275,0.125,0.0195,0.6709999999999999,-8.673,117.53399999999999,279.381
4G9aQpYyR7h2Lv4uBcm3ct,0.726,0.00207,0.861,0.42100000000000004,-9.999,132.468,209.522
3z1W5YPUNdMZO058JkdKQN,0.819,0.764,0.688,0.655,-12.578,118.023,325.933
5EhEdbXj1xnLxvxjAg4n2n,0.514,0.9390000000000001,5.7700000000000007e-05,0.71,-6.309,93.336,286.093
6HxBbpYanVhop28v4ZBnCF,0.304,0.902,0.0012900000000000001,0.19899999999999998,-7.789,99.316,422.108
55j3op1wIFo6VPBSNEqVzI,0.22575,0.809,0.7020000000000001,0.128,-27.61,144.03799999999998,283.133
3DUqQg2qaB3hNR155XIjjG,0.5725,0.836,0.00371,0.7759999999999999,-10.884,87.12899999999999,477.187
6QGJ6M3Mubu8r8QtHVK5kb,0.5409999999999999,0.627,0.034,0.23199999999999998,-9.655,131.048,330.293
1O3YeLPCDVDo6UjZRfPzYc,0.6435,0.039,0.843,0.54,-11.071,110.579,451.733
39OPD6nLS26kQ7HBWK54vh,0.621,0.573,0.8140000000000001,0.7240000000000001,-15.562999999999999,140.62,229.4
3RlexWNgNrU3PuSxkwk1P0,0.5505,0.555,0.23800000000000002,0.32299999999999995,-11.610999999999999,116.23200000000001,1660.366
58TNDzQu4jpSj9pX0FPeqK,0.508,0.0846,0.67,0.213,-22.066999999999997,120.52799999999999,424.64
3DDR4uLuu3ArbKinFXRWWS,0.515,0.627,0.8740000000000001,0.531,-22.044,127.448,161.533
19CKn4QE8vZCv3NHnDnE5u,0.421,0.924,0.0524,0.855,-24.425,164.47299999999998,774.667
5Pp8eUfFeupFK9zCusxTxO,0.467,0.0672,0.7829999999999999,0.753,-17.649,94.574,263.173
7z5GgWBVSEXsrIHisHmBu5,0.613,0.539,0.861,0.907,-14.814,133.94799999999998,511.92
0zr6qmxQCeNgAOmmk1iKAy,0.23920000000000002,0.84,0.506,0.13,-25.184,101.176,382.0
5uyx5W1tcb1e331KBfU7Xi,0.7405,0.621,0.809,0.7490000000000001,-13.927999999999999,123.338,350.54
2e4Mdgxs7OX6nd3zqgUO4E,0.6485000000000001,0.581,0.000325,0.8759999999999999,-7.006,82.811,280.19
6aPMWbbdhDhiJHlknZb9Yx,0.4225,0.491,0.0,0.345,-4.7669999999999995,172.12099999999998,370.444
3CeqbZWX8cmw6xsjQ9VcRP,0.475,0.45899999999999996,1.88e-06,0.256,-9.131,148.02100000000002,362.005
3kN1OPVSLEK0vBFEOaLZsA,0.473,0.772,0.0,0.38799999999999996,-8.432,80.086,225.75
2rAJ3PA5JGMktxYiSg53Um,0.7155,0.609,0.00692,0.37,-6.7829999999999995,104.126,341.732
1bx6spmieE655BQvWdTYKA,0.8425,0.39399999999999996,0.0009390000000000001,0.6970000000000001,-3.466,110.03,319.636
6vo7Y1iWyZvpjvFbf6BiZ5,0.56,0.524,3.73e-05,0.435,-8.343,117.999,311.186
4BiPsAV070dg3eLSVf727A,0.73,0.436,2.15e-06,0.873,-7.127000000000001,118.04299999999999,280.974
5DSXeooPAO21avxy7l162t,0.4675,0.428,3.82e-06,0.677,-9.792,120.62100000000001,223.771
3N8yzOvPaNGhPTi1leXDU5,0.48250000000000004,0.5660000000000001,0.0,0.389,-10.075,154.762,223.363
46q0IyJEM2490YZeK76ygR,0.5800000000000001,0.701,0.0008810000000000001,0.415,-8.228,129.96,255.68
6bDBOeG75jxMaeljecwXAl,0.6985,0.28800000000000003,0.0,0.626,-8.469,149.982,193.644
2oT4XanQsgctzFEornDaQB,0.57,0.0226,5.52e-06,0.599,-7.317,171.94299999999998,360.623
7sPDjmoQ9GmERO4BQvpM8x,0.42000000000000004,0.5579999999999999,0.000102,0.294,-9.209,109.773,1045.427
3RuQkmBtrcgpeap3ghS4rr,0.2485,0.706,1.73e-05,0.41100000000000003,-20.590999999999998,85.321,2058.79
6PR3EEpvrzEAEtmZDsZ8o7,0.2045,0.872,1.84e-06,0.34,-22.129,131.98,708.05
29ls98FgNdZHbmqdQeF7E6,0.42300000000000004,0.40399999999999997,0.802,0.0807,-11.767000000000001,175.042,909.107
